iter	Passed	Remaining
0	1	148
1	3	152
2	5	178
3	6	167
4	8	168
5	10	159
6	12	163
7	14	167
8	16	168
9	19	171
10	22	178
11	24	178
12	26	175
13	28	173
14	29	167
15	31	164
16	34	166
17	36	166
18	39	167
19	40	162
20	43	165
21	46	163
22	48	163
23	51	162
24	54	164
25	57	163
26	59	160
27	62	159
28	64	158
29	67	157
30	70	155
31	72	153
32	75	152
33	77	149
34	79	147
35	81	144
36	84	143
37	86	140
38	88	138
39	91	136
40	92	132
41	93	128
42	95	126
43	98	125
44	100	123
45	103	121
46	104	118
47	107	116
48	110	114
49	112	112
50	113	109
51	116	107
52	117	104
53	119	102
54	121	99
55	123	97
56	125	94
57	128	92
58	129	89
59	131	87
60	133	85
61	135	82
62	137	80
63	138	78
64	140	75
65	141	73
66	143	70
67	145	68
68	146	65
69	148	63
70	149	60
71	151	58
72	152	56
73	153	54
74	156	52
75	158	50
76	160	47
77	161	45
78	163	43
79	164	41
80	165	38
81	167	36
82	169	34
83	171	32
84	173	30
85	175	28
86	177	26
87	178	24
88	180	22
89	182	20
90	184	18
91	187	16
92	189	14
93	191	12
94	193	10
95	194	8
96	196	6
97	197	4
98	199	2
99	201	0
