iter	Passed	Remaining
0	154	154356
1	156	78203
2	159	52858
3	161	40223
4	164	32693
5	166	27647
6	169	23990
7	171	21230
8	173	19098
9	175	17401
10	178	16012
11	180	14833
12	182	13872
13	184	13015
14	186	12279
15	189	11672
16	192	11120
17	194	10606
18	196	10151
19	199	9755
20	201	9389
21	204	9071
22	206	8782
23	209	8506
24	211	8240
25	213	7997
26	215	7777
27	218	7578
28	220	7390
29	222	7205
30	225	7036
31	227	6874
32	229	6722
33	231	6582
34	234	6461
35	236	6339
36	238	6212
37	240	6095
38	243	5991
39	245	5890
40	248	5812
41	250	5718
42	252	5622
43	254	5534
44	256	5442
45	258	5359
46	260	5285
47	263	5222
48	265	5144
49	266	5069
50	268	5001
51	270	4936
52	272	4866
53	275	4820
54	277	4766
55	279	4715
56	281	4656
57	283	4605
58	285	4550
59	286	4494
60	289	4453
61	291	4410
62	293	4363
63	295	4316
64	296	4267
65	298	4229
66	301	4194
67	303	4161
68	305	4126
69	307	4082
70	308	4040
71	310	4006
72	312	3973
73	314	3938
74	316	3907
75	319	3882
76	320	3843
77	321	3801
78	323	3766
79	324	3726
80	325	3691
81	327	3666
82	328	3627
83	329	3596
84	331	3567
85	334	3549
86	335	3523
87	338	3504
88	340	3481
89	341	3454
90	343	3432
91	346	3415
92	348	3399
93	350	3373
94	351	3352
95	353	3324
96	354	3300
97	356	3278
98	357	3252
99	359	3233
100	360	3212
101	363	3196
102	364	3176
103	366	3160
104	368	3137
105	369	3120
106	372	3106
107	374	3090
108	375	3068
109	377	3056
110	379	3036
111	381	3024
112	383	3008
113	384	2990
114	386	2974
115	388	2957
116	389	2937
117	390	2921
118	392	2905
119	394	2892
120	396	2879
121	397	2862
122	399	2848
123	401	2834
124	402	2819
125	404	2803
126	405	2787
127	407	2778
128	410	2768
129	411	2754
130	412	2738
131	414	2726
132	416	2716
133	418	2703
134	420	2694
135	422	2686
136	425	2678
137	427	2669
138	428	2656
139	431	2648
140	432	2634
141	433	2619
142	435	2607
143	436	2594
144	438	2586
145	440	2577
146	442	2569
147	444	2560
148	446	2551
149	448	2540
150	449	2528
151	451	2517
152	453	2509
153	455	2501
154	456	2489
155	458	2481
156	460	2472
157	462	2463
158	464	2455
159	466	2447
160	467	2435
161	469	2428
162	470	2416
163	471	2404
164	473	2398
165	476	2391
166	477	2382
167	479	2374
168	481	2367
169	484	2363
170	485	2353
171	486	2343
172	488	2334
173	489	2324
174	490	2314
175	492	2306
176	494	2299
177	496	2292
178	498	2286
179	500	2277
180	501	2269
181	503	2262
182	504	2251
183	506	2244
184	507	2234
185	508	2227
186	510	2217
187	511	2209
188	513	2203
189	514	2194
190	516	2186
191	517	2177
192	519	2170
193	520	2162
194	521	2153
195	523	2145
196	524	2137
197	525	2127
198	526	2118
199	527	2110
200	529	2103
201	530	2095
202	531	2087
203	532	2078
204	534	2071
205	535	2062
206	536	2055
207	537	2047
208	538	2039
209	539	2031
210	541	2023
211	542	2016
212	543	2009
213	545	2002
214	546	1994
215	547	1986
216	548	1977
217	548	1969
218	549	1961
219	550	1952
220	551	1944
221	552	1935
222	553	1927
223	553	1919
224	554	1910
225	555	1901
226	556	1893
227	556	1885
228	557	1877
229	558	1871
230	560	1864
231	561	1858
232	562	1851
233	563	1844
234	564	1837
235	565	1830
236	566	1824
237	567	1817
238	568	1810
239	569	1804
240	571	1798
241	572	1792
242	573	1786
243	574	1779
244	575	1773
245	576	1766
246	577	1759
247	578	1752
248	579	1746
249	579	1739
250	580	1733
251	581	1726
252	582	1719
253	583	1712
254	584	1706
255	585	1700
256	585	1693
257	586	1687
258	587	1681
259	589	1677
260	590	1672
261	591	1667
262	593	1662
263	594	1656
264	595	1652
265	596	1647
266	598	1642
267	599	1638
268	601	1633
269	602	1628
270	603	1624
271	605	1619
272	606	1614
273	607	1609
274	608	1604
275	609	1598
276	609	1592
277	610	1586
278	611	1580
279	612	1574
280	613	1569
281	614	1563
282	615	1558
283	615	1552
284	616	1547
285	618	1543
286	619	1538
287	620	1533
288	621	1528
289	622	1523
290	623	1518
291	624	1513
292	625	1508
293	626	1503
294	627	1499
295	628	1494
296	629	1489
297	630	1485
298	631	1481
299	633	1477
300	635	1474
301	636	1471
302	637	1466
303	638	1462
304	639	1458
305	640	1453
306	642	1449
307	643	1446
308	644	1442
309	645	1437
310	647	1433
311	648	1429
312	649	1426
313	651	1422
314	652	1418
315	654	1415
316	655	1411
317	656	1408
318	658	1405
319	659	1402
320	661	1399
321	662	1394
322	663	1391
323	665	1388
324	666	1385
325	668	1382
326	669	1378
327	671	1375
328	672	1371
329	673	1368
330	675	1365
331	676	1361
332	678	1359
333	680	1356
334	682	1354
335	683	1351
336	685	1347
337	686	1344
338	688	1341
339	689	1339
340	691	1336
341	693	1333
342	694	1330
343	696	1327
344	697	1324
345	698	1320
346	699	1317
347	701	1313
348	702	1309
349	703	1306
350	704	1302
351	705	1298
352	706	1295
353	707	1291
354	709	1288
355	710	1285
356	712	1282
357	713	1279
358	715	1276
359	716	1273
360	718	1271
361	720	1269
362	722	1267
363	724	1265
364	726	1264
365	728	1262
366	730	1259
367	731	1256
368	733	1254
369	735	1251
370	736	1249
371	738	1247
372	740	1244
373	741	1241
374	743	1238
375	744	1235
376	745	1232
377	747	1229
378	749	1227
379	750	1224
380	752	1222
381	754	1220
382	756	1218
383	758	1216
384	759	1213
385	761	1211
386	763	1208
387	764	1206
388	766	1203
389	767	1200
390	769	1198
391	770	1195
392	772	1192
393	773	1189
394	774	1186
395	775	1183
396	776	1179
397	777	1176
398	779	1173
399	780	1170
400	781	1167
401	783	1164
402	785	1163
403	787	1161
404	789	1159
405	790	1156
406	792	1154
407	794	1152
408	795	1149
409	797	1147
410	798	1144
411	800	1142
412	802	1139
413	803	1136
414	804	1134
415	805	1131
